,ID,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (MPH)
67,3393536,Olinda,-8.0089,-34.8553,74.93,94,75,18.41
68,55671,Kismayo,-0.3582,42.5454,78.08,72,21,13.71
69,3459094,Laguna,-28.4825,-48.7808,77.02,61,1,3.18
70,128905,Kāmyārān,34.7956,46.9355,74.41,28,24,2.75
71,504269,Pudozh,61.8042,36.5277,58.01,72,52,4.0
72,3874787,Punta Arenas,-53.1548,-70.9113,34.02,80,20,19.57
73,953975,Port Elizabeth Airport,-33.9611,25.6149,58.98,93,18,3.58
74,3448455,São Miguel do Araguaia,-13.275,-50.1628,93.27,25,0,7.4
75,369004,Nyala,12.0489,24.8807,91.94,33,100,4.97
76,1519385,Sergeevka,53.8814,67.4088,73.54,71,12,2.19
77,3351014,Camacupa,-12.0167,17.4833,57.54,32,3,0.81
78,88962,Al Jawf,24.1989,23.2909,95.81,13,0,12.28
79,3578441,Saint-François,16.2524,-61.2733,84.16,69,14,11.74
80,3450288,Santa Cruz Cabrália,-16.2781,-39.0247,80.83,65,40,10.36
81,478297,Usogorsk,63.4106,48.6872,50.67,97,96,1.05
82,1505260,Ivdel',60.6911,60.4206,65.03,97,92,7.0
83,158321,Karema,-6.8205,30.4389,71.22,54,5,5.46
84,3571913,Marsh Harbour,26.5412,-77.0636,79.95,76,100,17.18
85,581049,Arkhangelsk,64.5401,40.5433,60.91,72,40,4.47
86,3699427,Barranca,-4.833,-76.6758,84.67,73,36,2.13
87,1024552,Xai-Xai,-25.0519,33.6442,65.35,78,0,6.42
88,3374832,Brava Municipality,14.8714,-24.6956,70.34,81,4,16.93
89,3372707,Ribeira Grande,38.5167,-28.7,72.0,73,40,14.97
90,3133349,Ulsteinvik,62.3432,5.8487,69.17,62,59,6.44
91,6453315,Vadsø,70.0735,29.7494,59.16,82,20,3.44
92,286245,Sur,22.5667,59.5289,91.0,58,29,6.82
93,506763,Polyarny,69.1989,33.4478,56.26,68,100,11.54
94,978895,Margate,-30.8636,30.3705,65.77,79,19,8.59
95,3456848,Monte Carmelo,-18.7247,-47.4986,80.87,32,0,8.16
96,6324733,St. John's,47.5649,-52.7093,66.76,87,100,16.11
97,6165406,Thompson,55.7433,-97.8635,69.98,49,75,3.44
98,2411397,Georgetown,-7.9286,-14.4119,77.88,75,49,21.47
99,973709,Mossel Bay,-34.1831,22.1461,58.14,85,28,5.37
100,913029,Kapiri Mposhi,-13.9715,28.6699,51.89,51,0,4.65
101,89113,Ajdabiya,30.7555,20.2263,82.2,42,1,16.31
102,749502,Çayeli,41.0861,40.7221,70.95,95,93,5.73
103,621741,Slutsk,53.0274,27.5597,60.51,78,90,6.53
104,3924877,Pôsto Fiscal Rolim de Moura,-13.0827,-62.2773,98.06,24,1,4.79
105,105072,Khamis Mushait,18.3,42.7333,72.68,56,0,5.75
106,2239520,Mbanza Kongo,-6.267,14.2401,73.94,59,100,3.33
107,1525014,Būlaevo,54.906,70.4416,70.93,81,79,2.98
108,4944903,Nantucket,41.2835,-70.0995,71.71,64,0,17.27
109,3694112,Paita,-5.086,-81.109,71.28,67,18,13.22
110,3419842,Sisimiut,66.9395,-53.6735,48.76,63,69,2.71
111,2228881,Makary,12.5754,14.4548,90.99,36,73,5.75
112,1505991,Igarka,67.4655,86.6027,48.76,73,43,7.0
113,601594,Türkmenbaşy,40.0222,52.9552,77.77,50,0,4.61
114,2821294,Treptow,53.6942,13.265,61.41,64,22,11.81
115,3577154,Oranjestad,12.5351,-70.0069,91.15,62,40,23.02
116,3933024,Paramonga,-10.6667,-77.8333,68.31,71,62,11.18
117,2269594,Cascais,38.6968,-9.4215,66.04,69,20,19.57
118,2510582,Tazacorte,28.6419,-17.9339,74.88,69,20,17.27
119,3924948,Ouro Preto do Oeste,-10.7481,-62.2158,92.89,34,64,2.62
120,3347019,Mossamedes,-15.1961,12.1522,67.57,86,4,3.47
121,750468,Boyabat,41.4689,34.7667,67.14,70,16,7.52
122,1525798,Balqash,46.8481,74.995,73.51,53,82,8.03
123,4292686,Georgetown,38.2118,-84.5562,81.45,42,0,6.91
124,654405,Kangasniemi,61.9936,26.6479,64.42,59,39,3.0
125,608915,Makhambet,47.6667,51.5833,87.64,21,87,6.96
126,3716044,Verrettes,19.0505,-72.4659,95.41,47,100,2.59
127,3389361,Santa Quitéria,-4.3319,-40.1567,85.33,55,99,8.12
128,3661944,Tefé,-3.3684,-64.7205,89.58,62,40,6.91
129,622877,Radoshkovichi,54.1554,27.2412,58.68,88,48,6.17
130,3384482,Brokopondo,5.0559,-54.9804,85.98,68,99,3.6
131,3402648,Carutapera,-1.2037,-46.0163,84.72,72,13,9.55
132,3874958,Puerto Natales,-51.7299,-72.506,32.54,93,75,11.5
133,3397967,Itaituba,-4.2761,-55.9836,93.13,41,67,6.69
134,1529376,Korla,41.7606,86.1523,77.47,27,1,18.41
135,2209055,Waddān,29.1614,16.139,95.94,21,0,13.0
136,3662927,Pauini,-7.7136,-66.9764,97.34,33,49,3.94
137,6354943,Egilsstadir,65.2669,-14.3949,56.41,65,92,9.71
138,57000,Hobyo,5.3505,48.5268,79.11,78,66,26.89
139,3372472,Vila Franca do Campo,37.7167,-25.4333,70.21,69,13,6.15
140,2961123,Tralee,52.2704,-9.7026,55.49,80,48,12.06
141,1179834,Dijkot,31.2174,72.9962,101.34,22,0,3.69
142,3935288,Minas de Marcona,-15.2119,-75.1103,62.85,59,66,16.58
143,7602005,Kujalleq,60.7184,-46.0356,40.75,83,32,5.93
144,933644,Khemsbok,-21.6979,21.6458,56.12,32,0,8.05
145,3899695,Ancud,-41.8707,-73.8162,49.21,78,100,10.45
146,3893629,Coquimbo,-29.9533,-71.3395,60.67,82,20,10.36
147,792794,Bela Crkva,44.8975,21.4172,73.09,66,3,5.64
148,1252795,Yanam,16.7331,82.2136,86.92,72,86,3.36
149,962367,Richards Bay,-28.783,32.0377,64.18,73,0,4.41
150,889215,Kariba,-16.5167,28.8,61.25,48,0,2.89
151,5921147,Chibougamau,49.9168,-74.3659,56.66,38,20,9.17
152,2484620,Oum el Bouaghi,35.8754,7.1135,88.9,19,39,11.95
153,7911024,Madifushi,1.8324,73.5026,84.0,73,49,13.24
154,3415496,Keflavik,64.0049,-22.5624,59.43,63,75,14.97
155,3839307,Rawson,-43.3002,-65.1023,53.58,40,40,13.78
156,1067565,Beloha,-25.3,44.9667,64.51,70,4,5.35
157,3557758,Guane,22.2018,-84.0848,87.44,65,98,9.8
158,1223488,Weragampita,5.9283,80.5888,79.05,87,92,12.48
159,935215,Saint-Philippe,-21.3609,55.7679,71.56,91,94,8.16
160,2367568,Bassar,9.2503,0.7821,79.36,74,94,4.52
161,584715,Xudat,41.6305,48.6816,73.09,71,1,6.29
162,2478216,Tamanghasset,22.785,5.5228,96.71,6,0,5.75
163,3932145,Pisco,-13.7103,-76.2054,66.09,82,20,10.36
164,411737,Muḩāfaz̧at al Wusţá,19.9593,56.2758,87.6,58,37,20.42
165,187896,Mandera,3.9373,41.8569,86.13,36,28,10.42
166,3354071,Oranjemund,-28.55,16.4333,62.74,60,17,7.74
167,710735,Chernihiv,51.5055,31.2849,65.26,93,79,6.15
168,3894871,Chonchi,-42.6239,-73.775,50.49,75,82,5.14
169,1264976,Leh,34.165,77.584,49.41,42,11,6.96
170,3361934,Saldanha,-33.0117,17.9442,55.45,79,1,10.04
171,1043458,Luabo,-18.5811,36.4586,71.74,86,22,10.22
172,3407755,Amarante do Maranhão,-5.5667,-46.7422,93.38,32,35,7.83
173,3874943,Quellón,-43.1182,-73.6166,48.33,83,100,10.13
174,241170,Seychelles,-4.3481,55.8327,81.99,79,19,7.72
175,3692073,Santiago de Cao,-7.9589,-79.2392,66.33,77,40,11.5
176,3706208,Las Tablas,7.7647,-80.2748,82.47,78,98,4.27
177,1545752,Port Mathurin,-19.6833,63.4167,75.29,73,20,16.11
178,1282256,Hithadhoo,-0.6,73.0833,83.8,72,100,4.68
179,5970458,Happy Valley-Goose Bay,53.3038,-60.3258,68.36,28,59,13.2
180,3170239,Ponte nelle Alpi,46.1883,12.2783,65.32,88,100,1.01
181,3868626,Valparaíso,-33.036,-71.6296,62.2,70,75,9.22
182,2462881,Laayoune,27.0961,-13.4158,77.74,77,0,24.45
183,2374583,Bubaque,11.2833,-15.8333,80.78,81,100,16.64
184,3452483,Prado,-17.3411,-39.2208,79.03,69,46,8.84
185,3691712,Soritor,-6.1392,-77.1039,82.0,62,33,2.53
186,3374314,Preguiça,16.7552,-22.9446,77.04,69,40,16.11
187,609123,Qulsary,46.9531,54.0198,92.21,18,37,6.76
188,3470583,Barreiras,-12.1528,-44.99,92.14,23,40,8.75
189,3731095,Aquin,18.2797,-73.3943,84.0,68,84,7.81
190,1510370,Belyy Yar,58.4447,85.0425,70.52,68,26,5.26
191,3897334,Calbuco,-41.7734,-73.1305,50.86,80,100,7.31
192,7303783,Sydney Mines,46.2367,-60.2177,64.47,82,100,8.05
193,3111353,O Rosal,41.9354,-8.8368,62.22,70,24,5.01
194,1266155,Koppa,13.5304,75.3633,69.31,94,80,3.24
195,735640,Komotini,41.1192,25.4054,74.01,62,15,1.99
196,2455290,Kidal,18.4411,1.4078,103.71,15,12,15.08
197,3352844,Swakopmund,-22.6784,14.5266,72.5,32,0,7.54
198,3420846,Qaqortoq,60.7184,-46.0356,40.75,83,32,5.93
199,2504099,Berrouaghia,36.1352,2.9109,82.6,28,100,22.41
200,110328,Ad Darb,17.7229,42.2526,88.74,65,17,4.7
201,286621,Salalah,17.0151,54.0924,86.09,84,75,9.22
202,3577004,Five Cays Settlement,22.3667,-72.9667,81.55,76,100,7.99
203,5989403,Kapuskasing,49.4169,-82.4331,68.97,36,94,7.74
204,587319,Əliabad,41.4829,46.6348,78.42,57,55,13.8
205,2381334,Atar,20.5177,-13.0486,107.82,13,100,7.61
206,2611060,Tvøroyri,61.5556,-6.8111,48.27,91,100,28.74
207,3460817,Itambacuri,-18.0311,-41.685,77.72,55,69,5.79
208,1177446,Gwadar,25.1216,62.3254,82.99,86,4,10.11
209,1337605,Mahibadhoo,3.7571,72.9689,83.26,76,83,10.33
210,2643425,Ludlow,52.3743,-2.7131,53.87,79,63,9.86
211,2400547,Gamba,-2.65,10.0,73.62,85,45,5.28
212,4364312,Ocean City,38.3365,-75.0849,79.9,57,0,11.5
213,4566022,Loíza,18.4313,-65.8802,90.79,63,40,8.05
214,1282898,Pokhara,28.2669,83.9685,73.27,71,85,6.02
215,964432,Port Alfred,-33.586,26.8833,56.26,92,33,4.7
216,1266622,Khunti,23.076,85.2782,87.78,40,99,12.86
217,2699394,Kramfors,62.9316,17.7765,60.6,59,40,14.97
218,3466165,Cidreira,-30.1811,-50.2056,69.17,80,98,4.94
219,3443289,Castillos,-34.1987,-53.8592,62.76,63,93,5.53
220,3675637,Majagual,8.5412,-74.6294,85.69,78,100,2.04
221,3846175,Los Frentones,-26.4077,-61.4137,67.8,83,96,8.01
222,1275930,Bhīmunipatnam,17.8902,83.452,80.58,67,100,1.79
223,699445,Novomoskovsk,48.638,35.2455,66.27,95,98,11.63
224,3579925,St. George's,12.0529,-61.7523,87.21,74,40,16.11
225,1521333,Lepsy,46.235,78.9456,73.47,37,81,4.68
226,3380892,Rémire-Montjoly,4.9167,-52.2667,89.64,62,20,14.97
227,3183446,Agerola,40.6342,14.5492,67.21,82,36,2.17
228,895269,Beitbridge,-22.2167,30.0,66.2,54,1,8.05
229,3386213,Touros,-5.1989,-35.4608,82.26,72,23,12.66
230,562237,Gagarin,55.5533,34.9968,62.15,84,79,5.44
231,4960091,Cape Neddick,43.1715,-70.6089,74.82,42,33,0.81
232,1489853,Tazovsky,67.4715,78.7162,38.46,79,48,11.43
233,1267390,Kavaratti,10.5669,72.642,83.71,78,79,11.16
234,917748,Choma,-16.8089,26.9875,50.74,41,0,3.4
235,2636564,Sudbury,52.0389,0.7312,59.29,63,20,16.11
236,3947019,Ayacucho,-13.1588,-74.2232,71.46,30,40,4.61
237,4046255,Bay Minette,30.883,-87.7731,93.85,29,0,7.99
238,1281593,Burang,30.2956,81.1751,47.8,50,25,4.12
239,3693191,Puerto Santa,-8.9877,-78.6473,68.0,76,63,12.41
240,1253237,Verāval,20.9077,70.3679,86.56,74,2,8.52
241,2640502,Pembroke Dock,51.6916,-4.9404,56.25,86,73,24.05
242,952199,Stilbaai-Oos,-34.2054,21.58,53.47,91,29,5.7
243,1264007,Mālvan,16.0598,73.4629,82.11,80,98,5.68
244,921721,Ouani,-12.1355,44.4249,78.46,73,22,10.11
245,5964378,Grand Falls-Windsor,48.9332,-55.6649,68.5,62,100,5.01
246,1508715,Bulanash,57.2783,61.9965,67.71,75,80,5.82
247,6141439,Sault Ste. Marie,46.5168,-84.3333,66.34,44,20,10.36
248,2627309,Sauðarkrokur,65.7461,-19.6394,54.88,72,77,3.89
249,486071,Surovikino,48.6073,42.8462,73.33,73,79,12.1
250,364103,Wad Medani,14.4012,33.5199,99.01,23,23,7.52
251,1536757,Priob’ye,62.5206,65.5964,63.03,81,87,8.08
252,3088825,Płock,52.5468,19.7064,68.95,59,96,11.14
253,3939168,Huarmey,-10.0681,-78.1522,69.75,70,50,12.37
254,4791237,Vinton,37.281,-79.897,86.74,36,20,5.01
255,3832923,Victorica,-36.2151,-65.4359,66.04,26,0,10.83
256,647930,Liminka,64.8099,25.4155,60.87,55,20,4.61
257,3603157,Puerto Lempira,15.2667,-83.7722,78.94,78,75,0.0
258,3027487,Châlons-en-Champagne,48.9539,4.3672,63.84,80,86,13.51
259,378543,Argo,19.5167,30.4167,102.38,8,5,10.71
260,214614,Kamina,-8.7351,24.998,62.04,34,7,4.18
261,3573380,Stoney Ground,18.256,-63.0102,88.59,70,20,14.97
262,3399415,Fortaleza,-3.7172,-38.5431,84.29,70,0,16.11
263,1229989,Point Pedro,9.8167,80.2333,82.22,83,33,23.53
264,2258984,Kinkala,-4.3614,14.7644,74.91,64,10,5.19
265,3578594,Pointe-Noire,16.2322,-61.7892,83.26,64,43,2.15
266,3359638,Walvis Bay,-22.9575,14.5053,77.95,16,0,8.05
267,2215210,Al Burayqah,30.4062,19.5739,74.71,75,0,17.54
268,3479308,Paind do Araguaia,-10.4706,-50.5136,94.01,28,0,9.35
269,3374707,Cova Figueira,14.8905,-24.2934,63.99,80,0,12.24
270,2303611,Esim,4.8664,-2.2418,76.93,89,100,5.1
271,1265897,Kovakulam,8.0901,77.5384,80.28,86,96,19.06
272,3576994,Cockburn Town,21.4612,-71.1419,81.95,79,100,8.03
273,1514615,Oltiariq,40.3919,71.4742,82.15,27,74,4.14
274,2306774,San Antonio de Palé,-1.4068,5.6318,76.12,83,60,12.5
275,105299,Jizan,16.8892,42.5511,94.84,63,0,6.91
276,3424935,Commune de Saint-Pierre,46.7791,-56.1773,53.19,100,100,13.8
277,779683,Hammerfest,70.6631,23.6809,46.94,93,64,12.66
278,3407357,Araguaína,-7.1911,-48.2072,93.58,28,95,8.19
279,2389853,Bangui,4.3612,18.555,73.58,94,40,4.61
280,1486910,Vorkuta,67.4988,64.0525,38.95,81,100,8.01
281,3459303,Lagoa,-27.6049,-48.4671,80.67,53,0,5.75
282,934753,Beau Vallon,-20.4189,57.6953,76.86,78,40,8.05
283,1337613,Kulhudhuffushi,6.6221,73.07,83.35,77,100,12.3
284,2986626,Plouzané,48.3833,-4.6167,56.44,80,75,17.27
285,5942913,Dryden,49.7833,-92.7503,66.49,72,100,12.66
286,79700,Al Ghayzah,16.2079,52.176,85.39,80,0,11.99
287,739600,Sinop,42.0268,35.1625,69.44,84,6,23.94
288,3433349,Jardín América,-27.0435,-55.227,82.69,54,49,6.26
289,6424355,St Johnsbury,44.4253,-72.0151,65.01,48,75,17.27
290,3389822,Salinópolis,-0.6136,-47.3561,84.38,70,3,14.32
291,2633744,Withernsea,53.7312,0.032,53.69,87,100,7.07
292,1503772,Khanty-Mansiysk,61.0042,69.0019,73.51,73,20,6.71
293,3904666,Santiago del Torno,-17.9867,-63.3812,74.1,58,19,11.63
294,3355672,Lüderitz,-26.6481,15.1538,68.9,36,36,6.38
295,149929,Sikonge,-5.6333,32.7667,67.37,50,15,4.05
296,3835994,Santa Rosa,-36.6167,-64.2833,65.37,31,0,6.02
297,935214,Saint-Pierre,-21.3393,55.4781,71.28,88,100,6.91
298,3887127,Iquique,-20.2133,-70.1503,68.22,81,100,5.91
299,1177098,Harnai,30.1008,67.9382,88.16,27,1,0.31
300,317106,Denizli Province,37.8054,29.0424,73.87,33,0,2.53
301,2263197,São Vicente,32.7967,-17.0432,70.7,83,74,4.36
302,3664525,Codajás,-3.8367,-62.0569,84.4,72,100,0.96
303,3093902,Łask,51.5906,19.1328,71.69,82,100,5.59
304,1277476,Bamboo Flat,11.7,92.7167,82.49,89,40,6.91
305,359792,Aswān,24.0877,32.9041,114.04,7,0,11.5
306,87205,Darnah,32.767,22.6367,72.43,78,0,19.19
307,1517060,Zaysan,47.4666,84.8714,59.92,63,57,4.76
308,2438974,Tchin Tabaradèn,15.8969,5.7985,95.11,32,55,16.64
309,3388847,São Félix do Xingu,-6.6447,-51.995,93.36,34,98,6.35
310,5895424,Bay Roberts,47.5999,-53.2648,62.35,95,100,8.05
311,214575,Kampene,-3.5968,26.6672,73.18,49,5,0.92
312,3946147,Caleta de Carquín,-11.0925,-77.6267,67.98,72,26,11.59
313,3907584,Potosí,-19.5836,-65.7531,58.51,10,0,10.47
314,1528796,At-Bashi,41.1695,75.801,54.23,56,0,1.81
315,88533,Awjilah,29.1081,21.2869,95.36,18,4,11.56
316,2248777,Marsassoum,12.8275,-15.9806,89.69,62,36,12.3
317,3869716,Tocopilla,-22.092,-70.1979,67.89,73,21,7.76
318,3370903,Jamestown,-15.9387,-5.7168,66.09,67,91,22.73
319,6082231,Mount Pearl,47.5166,-52.7814,65.8,87,100,11.5
320,3924679,Vilhena,-12.7406,-60.1458,88.02,42,0,9.22
321,8013441,Ponta Delgada (São José),37.7395,-25.6687,70.52,68,20,14.97
322,3153823,Harstad,68.7983,16.5417,50.4,88,75,5.64
323,3703229,Pedregal,8.3659,-82.4352,76.59,94,75,2.3
324,585570,Mǝrǝzǝ,40.5336,48.9282,67.68,65,3,2.53
325,964408,Port Saint John's,-31.6229,29.5448,67.05,84,95,5.12
326,616877,Ashtarak,40.2991,44.362,77.16,28,1,11.5
327,1498087,Nadym,65.5333,72.5167,40.96,71,42,13.35
328,1242110,Kalmunai,7.409,81.8347,82.22,75,100,1.9
329,3691582,Talara,-4.5772,-81.2719,74.16,73,75,17.69
330,2633274,Akureyri,65.6835,-18.0878,53.53,71,40,16.11
331,2476403,Timimoun,29.2639,0.231,106.18,9,91,20.71
332,3430863,Mar del Plata,-38.0004,-57.5562,64.92,47,0,8.01
333,2395182,Bembèrèkè,10.2283,2.6634,74.7,86,100,4.81
334,3664243,Feijó,-8.1654,-70.3549,89.83,53,89,2.77
335,3445849,Ubatã,-14.2091,-39.5264,81.12,50,25,5.88
336,1538280,Turagurghon Shahri,40.9998,71.5116,77.95,41,6,6.91
337,343292,Āsosa,10.0667,34.5333,64.13,91,100,3.69
338,1277091,Bārāmati,18.1517,74.5777,79.18,76,76,7.78
339,1176048,Jati,24.3549,68.2673,87.44,65,0,16.02
340,728385,Pavlikeni,43.2428,25.3219,61.83,61,0,4.09
341,145531,Saurimo,-9.6608,20.3916,60.91,30,8,4.29
342,322817,İbradı,37.0969,31.5992,70.95,49,0,7.23
343,3651949,San Cristobal,-0.9017,-89.6102,78.62,73,40,18.41
344,1037390,Mozambique,-15.0342,40.7358,76.91,70,20,17.87
345,6089426,North Bay,46.3168,-79.4663,62.62,51,20,13.8
346,777073,Vadsø,70.0735,29.7494,55.56,76,40,6.91
347,361394,Al Bawīţī,28.3492,28.8659,92.39,23,0,21.72
348,687292,Zin'kiv,50.2081,34.3638,63.61,97,100,10.13
349,2375558,Zouérat,22.7354,-12.4713,97.92,18,68,11.18
350,100425,Yanbu,24.0895,38.0618,95.04,34,0,8.05
351,557588,Idritsa,56.3316,28.8988,55.72,76,6,4.36
352,1054500,Tsiombe,-25.3,45.4833,64.33,72,0,2.37
353,3853491,Joaquín V. González,-25.1136,-64.1263,70.41,50,100,12.08
354,3196681,Lendava,46.5649,16.4509,67.96,24,100,6.22
355,5994839,Labrador City,52.9463,-66.9114,53.51,54,75,11.5
356,69426,Zinjibar,13.1287,45.3807,90.9,49,15,0.92
357,3697838,Contamana,-7.3333,-75.0167,93.85,41,84,3.76
358,3450671,Salinas,-16.1703,-42.2903,84.51,34,0,9.44
359,2422488,Camayenne,9.535,-13.6878,78.89,94,75,11.5
360,905382,Mufumbwe,-13.6833,24.8,55.18,30,5,5.48
361,863061,Usinsk,65.9939,57.5281,43.07,71,100,15.99
362,2440495,Nguigmi,14.2495,13.1092,86.36,58,0,22.08
363,3448861,São João do Paraíso,-15.3136,-42.0144,80.51,35,0,11.7
364,3428576,San Pedro,-33.6792,-59.6663,68.94,34,0,8.08
365,3064807,Studénka,49.7234,18.0785,71.15,53,0,4.61
366,338832,Dire Dawa,9.5931,41.8661,77.52,45,97,19.82
367,1529641,Aral,40.5418,81.2657,80.6,22,27,14.0
368,1175010,Kandiaro,27.0592,68.2102,96.39,46,0,16.46
369,333795,Jijiga,9.35,42.8,68.47,58,48,11.1
370,646705,Mänttä,62.0301,24.6279,63.01,70,82,1.5
371,1162275,Zahir Pir,28.8128,70.5234,100.49,21,0,7.2
372,1501000,Kyshtovka,56.555,76.6271,70.34,89,45,5.01
373,3874997,Puerto Aisén,-45.403,-72.6918,42.84,99,100,3.96
374,542184,Krasnovishersk,60.4078,57.082,61.65,98,44,3.33
375,53157,Qandala,11.472,49.8728,90.14,59,1,2.24
376,1281980,Meedhoo,-0.2988,73.424,83.48,73,15,5.93
377,72968,Ma'rib,15.4625,45.3258,91.02,19,100,5.39
378,3864888,Balnearia,-31.0088,-62.6673,72.84,23,5,11.95
379,2210554,Sirte,31.2089,16.5887,74.35,68,0,7.9
380,377724,Bārah,13.7,30.3667,94.46,27,39,2.21
381,159267,Ikungi,-5.1333,34.7667,64.24,54,48,5.68
382,1045114,Inhambane,-23.865,35.3833,67.77,74,0,7.63
383,2269142,Colares,38.7992,-9.4469,64.47,72,20,24.0
384,986717,Kruisfontein,-34.0033,24.7314,54.16,90,7,3.11
385,1213721,Sinabang,2.4803,96.3801,77.18,93,100,3.87
386,3628966,La Villa del Rosario,10.3258,-72.3134,85.53,66,100,1.99
387,360923,Al Khārijah,25.4514,30.5464,97.21,10,1,5.5
388,1514387,Beruniy,41.6911,60.7525,76.96,44,0,6.91
389,2525567,Belvedere Marittimo,39.6193,15.8622,65.86,60,2,2.19
390,2270361,Campanário,32.6748,-17.0629,71.47,84,76,3.29
391,3421319,Nuuk,64.1835,-51.7216,61.41,48,20,13.8
392,64814,Bandarbeyla,9.4942,50.8122,78.17,85,7,25.97
393,215976,Ilebo,-4.3311,20.5864,73.87,44,2,1.21
394,2715081,Filipstad,59.7124,14.1683,56.1,72,100,13.76
